Visit,Home,V_Odd,H_Odd,OU
PHI,BOS,133,-149,216.5
LAL,GSW,200,-233,223.5
WAS,IND,-125,110,227.5
ORL,DET,135,-150,217
CHI,MIA,220,-240,216.5
CLE,TOR,122,-139,213.5
NYK,MEM,180,-200,225.5
HOU,ATL,370,-426,233
NOP,BKN,140,-154,230
OKC,MIN,450,-521,226.5
CHA,SAS,-120,108,225.5
DEN,UTA,-295,260,220.5
DAL,PHO,160,-180,216
POR,SAC,108,-115,226.5
MIL,PHI,146,-170,225
LAC,LAL,-195,180,226
NOP,CHA,-227,235,230.5
CHI,WAS,-102,-110,223.5
SAS,IND,135,-150,230.5
BOS,MIA,-140,120,218.5
DET,NYK,225,-250,217.5
ORL,ATL,295,-345,221.5
TOR,BKN,125,-140,225.5
UTA,MIN,310,-360,228.5
MEM,HOU,-208,188,229.5
DEN,GSW,188,-210,228.5
PHO,POR,-175,162,224
SAS,PHI,600,-901,224.5
DET,IND,-100,-120,231.5
BOS,ORL,-375,290,215.5
CLE,CHI,-125,105,220.5
TOR,MIA,135,-160,216.5
HOU,MIL,575,-901,227.5
MEM,DAL,180,-225,220.5
OKC,DEN,300,-375,227.5
LAC,SAC,-152,125,221
POR,LAL,144,-159,226.5
CHA,ATL,433,-556,227.5
UTA,NOP,248,-286,231.5
WAS,CLE,141,-156,216.5
OKC,MIN,360,-500,225.5
GSW,SAC,-500,360,230.5
LAC,PHO,-105,-115,219.5
IND,PHI,530,-676,226
TOR,MIA,140,-154,217.5
ORL,NYK,265,-300,218.5
BOS,CHI,-190,175,222
BKN,MEM,108,-120,227.5
SAS,MIN,360,-426,230.5
UTA,HOU,-100,-115,232
DEN,POR,-155,144,229.5
DET,WAS,185,-210,221
DAL,NOP,-188,160,219.5
LAC,OKC,-420,380,213.5
GSW,PHO,102,-115,225.5
